Model,Label,Candidate,Mean Oddr_label,Mean Oddr,Mean Difference,Std Dev Original,Std Dev Intervention,Std Dev Difference,Logical Cohen D,original_fwp,intervention_fwp
0,remove,remove,0.2921,0.1993,0.0106,1.2695,1.1959,-0.0735,-0.1431,1.2500,0.9286
0,remove,append,0.2921,0.1993,0.0221,1.2695,1.1959,-0.0735,-0.0904,1.2500,0.9286
0,append,remove,-0.2190,-0.2823,-0.0050,2.0391,2.0452,0.0061,0.3060,0.6877,0.9070
0,append,append,-0.2190,-0.2823,-0.0301,2.0391,2.0452,0.0061,0.0893,0.6877,0.9070
1,remove,remove,-5.5040,7.2959,-0.6787,1.2168,2.9084,1.6916,3.0742,0.0286,0.1643
1,remove,append,-5.5040,7.2959,0.5038,1.2168,2.9084,1.6916,-2.2528,0.0286,0.1643
1,append,remove,-4.6644,9.1318,0.5256,1.8376,3.1021,1.2645,-2.0518,0.0332,0.0266
1,append,append,-4.6644,9.1318,-0.5582,1.8376,3.1021,1.2645,2.0298,0.0332,0.0266
2,remove,remove,-5.4208,6.9195,-0.6397,1.5053,3.1274,1.6221,2.7335,0.0286,0.1643
2,remove,append,-5.4208,6.9195,0.4836,1.5053,3.1274,1.6221,-2.0988,0.0286,0.1643
2,append,remove,-4.8922,9.0959,0.5062,2.3950,3.4422,1.0472,-1.9505,0.0664,0.0399
2,append,append,-4.8922,9.0959,-0.5168,2.3950,3.4422,1.0472,1.7643,0.0664,0.0399
3,remove,remove,-5.0424,6.3659,-0.4938,1.4761,4.4063,2.9301,1.6463,0.0143,0.1286
3,remove,append,-5.0424,6.3659,0.3423,1.4761,4.4063,2.9301,-1.3066,0.0143,0.1286
3,append,remove,-5.2572,10.9876,0.5450,2.3814,3.2652,0.8838,-2.0496,0.0332,0.0166
3,append,append,-5.2572,10.9876,-0.5644,2.3814,3.2652,0.8838,1.9814,0.0332,0.0166
4,remove,remove,-5.6509,7.2423,-0.6254,1.1524,3.6503,2.4980,2.4921,0.0143,0.1429
4,remove,append,-5.6509,7.2423,0.4579,1.1524,3.6503,2.4980,-1.9661,0.0143,0.1429
4,append,remove,-4.9857,10.4451,0.5672,1.8134,3.1848,1.3714,-2.1593,0.0432,0.0399
4,append,append,-4.9857,10.4451,-0.5831,1.8134,3.1848,1.3714,2.0746,0.0432,0.0399
